(T246,(count: 39, mean: 7.020362, stdev: 0.113995, max: 7.417580, min: 6.897705))
(T250,(count: 86, mean: 6.651540, stdev: 0.472613, max: 8.050384, min: 5.843544))
(T156,(count: 1015, mean: 7.234429, stdev: 0.186864, max: 8.241440, min: 6.970730))
(T76,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T87,(count: 114, mean: 6.911576, stdev: 0.302740, max: 8.050384, min: 6.514713))
(T225,(count: 60, mean: 7.692105, stdev: 0.182529, max: 8.408494, min: 7.261927))
(T179,(count: 776, mean: 7.113568, stdev: 0.187765, max: 8.087948, min: 6.970730))
(T157,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T195,(count: 329, mean: 6.243268, stdev: 0.629068, max: 8.163371, min: 4.499810))
(T235,(count: 360, mean: 6.825443, stdev: 0.373815, max: 8.045588, min: 5.799093))
(T184,(count: 584, mean: 7.382241, stdev: 0.246115, max: 8.349957, min: 7.077498))
(T56,(count: 1032, mean: 6.659091, stdev: 0.404811, max: 8.124151, min: 5.843544))
(T39,(count: 1724, mean: 6.703518, stdev: 0.454595, max: 8.106213, min: 4.653960))
(T7,(count: 299, mean: 6.969243, stdev: 0.299670, max: 7.949797, min: 6.142037))
(T261,(count: 1, mean: 7.444249, stdev: 0.000000, max: 7.444249, min: 7.444249))
(T101,(count: 1498, mean: 6.415672, stdev: 0.406011, max: 8.055158, min: 5.799093))
(T268,(count: 1800, mean: 6.527508, stdev: 0.444770, max: 8.083329, min: 5.652489))
(T279,(count: 2669, mean: 5.753230, stdev: 0.903975, max: 8.069342, min: 3.401197))
(T188,(count: 197, mean: 7.142847, stdev: 0.220868, max: 8.141772, min: 6.768493))
(T123,(count: 27, mean: 7.812009, stdev: 0.086284, max: 8.128585, min: 7.745003))
(T214,(count: 715, mean: 6.924331, stdev: 0.281479, max: 8.225503, min: 6.469250))
(T20,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T112,(count: 788, mean: 6.179259, stdev: 0.521329, max: 7.738488, min: 5.010635))
(T34,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T229,(count: 130, mean: 6.859056, stdev: 0.555473, max: 8.040769, min: 6.075346))
(T69,(count: 1400, mean: 6.914515, stdev: 0.277356, max: 8.137396, min: 6.421622))
(T247,(count: 215, mean: 6.698677, stdev: 0.380141, max: 8.141772, min: 6.142037))
(T212,(count: 27, mean: 6.525566, stdev: 0.455419, max: 7.512071, min: 5.541264))
(T160,(count: 4, mean: 6.835905, stdev: 0.616335, max: 7.649693, min: 5.926926))
(T45,(count: 1529, mean: 6.373335, stdev: 0.516698, max: 7.981050, min: 5.480639))
(T135,(count: 161, mean: 6.612573, stdev: 0.400459, max: 8.016318, min: 5.799093))
(T167,(count: 190, mean: 6.666863, stdev: 0.341226, max: 7.912057, min: 5.966147))
(T19,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T98,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T236,(count: 3767, mean: 6.142466, stdev: 0.717234, max: 8.154788, min: 3.806662))
(T145,(count: 395, mean: 6.919452, stdev: 0.296334, max: 8.188689, min: 6.492240))
(T224,(count: 0, mean: 0.000000, stdev: NaN, max: -Infinity, min: Infinity))
(T2,(count: 249, mean: 6.891017, stdev: 0.292122, max: 8.016318, min: 6.396930))
(T292,(count: 438, mean: 6.583560, stdev: 0.228580, max: 7.843849, min: 6.204558))
